task_type_id,rule_num,content
13,15.13.4,"The scoring position is the mark or best track point after the minimum time or distance has elapsed. If Observers are used, the scoring position is the mark if the observer has seen the marker drop after the minimum set time. Otherwise the scoring position will be the landing position, provided that the balloon has been seen by an official to be still airborne after the minimum time"
14,15.14.1,"Competitors will attempt to achieve a mark or valid track point close to the reference point within a set scoring area(s)."
14,15.14.2,"Task data:\na. description of scoring area(s)\nb. reference point"
14,15.14.3,"The result is the distance from the mark or best valid track point to the reference point. Smallest result is best."
15,15.15.1,"Competitors will attempt to achieve two marks or valid track points close together in different scoring areas."
15,15.15.2,"Task data:\na. description of scoring areas"
15,15.15.3,"The result is the distance between the marks or track points. Smallest result is best."
15,15.15.4,"Competitors will not achieve a result, unless they have valid track points or marks in different scoring areas as per the TDS."
16,15.16.1,"Competitors will attempt to achieve a mark or valid track point far away from the reference point, within a maximum set time."
16,15.16.2,"Task data:\na. maximum set time\nb. arrangements for timing\nc. reference point"
16,15.16.3,"The result is the distance from the mark or furthest valid track point to the reference point. Greatest result is best."
16,15.16.4,"(for events with observers)\nIf the observer does not see the marker release, falling or on the ground or the marker is not recovered in his hands within the maximum set time, the competitor will not achieve a result."
17,15.17.1,"Competitors will attempt to achieve a mark or valid track point far away from the reference point within a set scoring area(s)."
17,15.17.2,"Task data:\na. description of scoring area(s)\nb. reference point"
17,15.17.3,"The result is the distance from the mark or valid track point to the reference point. Greatest result is best."
18,15.18.1,"Competitors will attempt to achieve two marks or valid track points far apart in the scoring area(s)."
18,15.18.2,"Task data:\na. description of the scoring area(s)"
18,15.18.3,"The result is the distance between the marks or farthest valid track points. Greatest result is best."
19,15.19.1,"Competitors will attempt to achieve the greatest change of direction from a set direction. The change of direction is the angle between the set direction and line 'A-B'."
19,15.19.2,"Task data:\na. description of point 'A' and 'B'\nb. set direction\nc. minimum and maximum distances from 'A' to 'B'"
19,15.19.3,"The result is the angle between the set direction and the line 'A-B'. Greatest result is best."
20,15.20.1,"Competitors will attempt to achieve the greatest distance within a set airspace."
20,15.20.2,"Task data:\na. description of set airspace(s)."
20,15.20.3,"The result is the accumulated horizontal distance between valid track points in the set airspace(s). Greatest result is best"
